title,poster,trailer,category,actor,director,date_premiere,content
NHIỆM VỤ BẤT KHẢ THI NGHIỆP BÁO PHẦN MỘT,https://cinestar.com.vn/pictures/Cinestar/07-2023/nhiem-vu-bat-kha-thi-poster.jpg,https://www.youtube.com/watch?v=TVEIIUXUC6E,"Phiêu Lưu, Hành Động","Tom Cruise, Rebecca Ferguson, Vanessa Kirby, Hayley Atwell",Christopher McQuarrie,2023-07-14,Phần phim thứ 7 của loạt phim Nhiệm Vụ Bất Khả Thi
QUỶ QUYỆT: CỬA ĐỎ VÔ ĐỊNH,https://cinestar.com.vn/pictures/Cinestar/07-2023/insidious-poster.jpg,https://www.youtube.com/watch?v=aGBOK2cnHSE,Kinh Dị,Patrick Wilson,"Rose Byrne, Ty Simpkins, Patrick Wilson",2023-07-07,"Quỷ Quyệt 5: Cửa Đỏ Vô Định – Insidious 5: The Red Door lấy bối cảnh sau mười năm kể từ hai phần phim đầu tiên, Josh Lambert (Patrick Wilson) đang chuyển đến sinh sống tại phía Đông để đưa cậu con trai Dalton (Ty Simpkins) đến học tại một trường đại học bình dị, phủ đầy cây thường xuân. Tuy nhiên, giấc mơ đại học của Dalton lại trở lại một ác mộng khi những con quỷ bị kìm hãm trong quá khứ bằng một cách nào đó đã quay trở lại và tiếp tục ám hai cha con."
BARBIE,https://cinestar.com.vn/pictures/Cinestar/07-2023/barbie.jpg,https://www.youtube.com/watch?v=pBk4NYhWNMM,Phim Hài,"Margot Robbie, Ryan Gosling, Greta Gerwig, Emma Mackey,...",Greta Gerwig,2023-07-21,Một búp bê sống ở 'Barbieland' bị trục xuất vì không đủ hoàn hảo và bắt đầu cuộc phiêu lưu trong thế giới thực. Một bộ phim Live-action dựa trên dòng đồ chơi Barbie nổi tiếng.
THÁM TỬ LỪNG DANH CONAN (K): TÀU NGẦM SẮT MÀU ĐEN,https://cinestar.com.vn/pictures/Cinestar/07-2023/conan.jpg,https://www.youtube.com/watch?v=NwnQI9izPFc,Hoạt hình,"Minami Takayama, Wakana Yamazaki, Rikiya Koyama, Megumi Hayashibara, Shuuichi Ikeda",Yuzuru Tachikawa,2023-07-21,"Thám Tử Lừng Danh Conan: Tàu Ngầm Sắt Màu Đen lấy bối cảnh tại Pacific Buoy - một trụ sở hàng hải của Interpol có nhiệm vụ kết nối các camera an ninh trên toàn thế giới. Nhóm của Conan, theo lời mời của Sonoko, cũng đến đảo Hachijo để xem cá voi. Tại đây, Conan nhận được thông tin về một nhân viên Europol bị ám sát. Cùng với đó, tính mạng Haibara bị đe dọa, phải chăng thân phận của cô đã bị bại lộ trước Gin…"
DINH THỰ MA ÁM,https://cinestar.com.vn/pictures/Cinestar/07-2023/dinh-thu-ma-am.jpg,https://www.youtube.com/watch?v=hkG0Qqelnm4,Phim Hài,"Jamie Lee Curtis, Owen Wilson, Rosario Dawson",Justin Simien,2023-07-28,Nhà là nơi ma ám. Cùng xem đoạn trailer của bộ phim Dinh Thự Ma Ám sẽ được trình chiếu tại các cụm rạp vào ngày 28.07 này.
TAY ĐUA CỰ PHÁCH,https://cinestar.com.vn/pictures/Cinestar/08-2023/tay-dua-cu-phach.jpg,https://www.youtube.com/watch?v=giDxrMeoyFY,Hành Động,"David Harbour, Archie Madekwe, Orlando Bloom, Djimon Hounsou, Geri Halliwell",Neill Blomkamp,2023-08-11,"Nội dung bộ phim dựa trên câu chuyện có thật về Jann Mardenborough, một tay đua nổi tiếng tới từ Anh quốc. Vào năm 2011, anh đã đánh bại 90.000 đối thủ để trở thành nhà vô địch thứ ba, đồng thời là nhà vô địch trẻ tuổi nhất trong giải đấu GT Academy. Phần thưởng của Jann là cơ hội được đại diện cho Nissan tại giải đua Dubai 24-Hour."
CÁ MẬP SIÊU BẠO CHÚA 2: VỰC SÂU,https://cinestar.com.vn/pictures/Cinestar/08-2023/ca-map-sieu-bao-chua-2-vuc-sau.jpg,https://www.youtube.com/watch?v=IvTvR8paEm0,"Phiêu Lưu, Hành Động","Sienna Guillory, Jason Statham, Ngô Kinh",Ben Wheatley,2023-08-25,"Tiếp tục nhiệm vụ đã được đề cập trong phần phim trước, nhóm của Jonas Taylor (Jason Statham thủ vai) tiếp cận gần khu vực Rãnh Mariana, nơi họ đụng độ một quái vật bí ẩn, khiến một thành viên trong nhóm thiệt mạng ngay sau đó. Cái chết của người đồng đội báo hiệu cho cả nhóm về một mối đe dọa to lớn đang giấu mình trong những vách đá tối tăm. Thế nhưng, trong cả những viễn cảnh hoang đường nhất, họ cũng không thể ngờ những mối nguy đang chực chờ đe dọa họ có thể tàn ác đến mức nào."
KẺ ẨN DANH,https://cinestar.com.vn/pictures/Cinestar/08-2023/ke-an-danh.jpg,https://www.youtube.com/watch?v=9VHgjearV94,Phim Hài,"KIỀU MINH TUẤN / MẠC VĂN KHOA / QUỐC TRƯỜNG / VÂN TRANG / MAI CÁT VI,….",Trần Trọng Dần,2023-08-25,"Kể về câu chuyện của Lâm - một người đàn ông từng là xã hội đen nhưng lại mất trí nhớ và nay đang lẩn trốn như một người bình thường, kiếm sống bằng lao động chân tay. Lâm sống cùng vợ - Hạnh và con gái riêng của cô là Hiền. Hiền vẫn chưa chấp nhận tình yêu thương của chú Lâm dành cho mình. Hiền lớn lên với sự bốc đồng và bị dụ dỗ bởi Tiến - một thanh niên đạo đức giả chuyên dụ dỗ những cô gái vào nhà thổ để trở thành gái mại dâm. Xuyên suốt bộ phim là hành trình đi tìm con gái của Lâm"
THIỆN ÁC ĐỐI ĐẦU 3,https://cinestar.com.vn/pictures/Cinestar/09-2023/thien-ac-doi-dau-3.jpg,https://www.youtube.com/watch?v=VEgaQviZZPM,Hành Động,"Denzel Washington, Dakota Fanning, Sonia Ammar, Remo Girone",Antoine Fuqua,2023-09-01,"Robert McCall chuyển đến sinh sống tại miền Nam nước Ý nhưng phát hiện ra bạn bè của mình bị một tổ chức mafia ở địa phương kiểm soát. Khi tính mạng của họ bị đe dọa, ông buộc phải quay trở lại con đường sát thủ để bảo vệ bạn bè."
ÁN MẠNG Ở VENICE,https://cinestar.com.vn/pictures/Cinestar/09-2023/an-mang-o-venice.jpg,https://www.youtube.com/watch?v=EL8FdLQFUhc,Kinh Dị,"Kelly Reilly, Michelle Yeoh, Kenneth Branagh",Kenneth Branagh,2023-09-15,"Dựa trên tiểu thuyết Hallowe'en Party của nhà văn Agatha Christie, hành trình phá án của thám tử Hercule Poirot tiếp tục được đưa lên màn ảnh rộng."
ĐẤT RỪNG PHƯƠNG NAM,https://cinestar.com.vn/pictures/Cinestar/10-2023/dat-rung-phuong-nam.jpg,https://www.youtube.com/watch?v=pn2-xfU3qRk,Tình Cảm,"Hồng Ánh, Huỳnh Hạo Khang, Mai Tài Phến, Công Ninh, Hứa Vĩ Văn, Tuyền Mập, Tuấn Trần",Nguyễn Quang Dũng,2023-10-20,"Sau bao ngày chờ đợi, dự án điện ảnh gợi ký ức tuổi thơ của nhiều thế hệ người Việt chính thức tung hình ảnh đầu tiên đầy cảm xúc. First look poster khắc họa hình ảnh đối lập: bé An đang ôm chặt mẹ giữa một khung cảnh chạy giặc loạn lạc. Cùng chờ đợi và theo dõi thêm hành trình bé An đi tìm cha khắp nam kỳ lục tỉnh cùng các người bạn đồng hành nhé!"
